episode,total_reward,avg_power,avg_qos,avg_prb,epsilon
1,30.746908902190626,0.30666657999999997,0.7057097770000001,-0.22271610000000003,0.9636582956114175
2,36.02300525456667,0.14444437000000004,0.84779737,-0.07407414000000001,0.8719104583701925
3,34.37200415506959,0.29555550000000014,0.7770779350000002,-0.18592593000000004,0.7888977357196644
4,35.85913646919653,0.32444441999999996,0.756848786,-0.13827160999999996,0.7137884761549381
5,39.77528732456267,0.28444439000000005,0.7316044009999998,0.06592593000000002,0.6458302079252489
6,29.022435194638092,0.33777771000000006,0.7774127469000003,-0.40691354999999985,0.584342100499579
7,32.633462650701404,0.15777772000000012,0.823243961,-0.1676543200000001,0.5287081437599487
8,26.52781644789502,0.13111100000000003,0.7704176326999999,-0.27407406999999984,0.47837097658906735
9,30.047041032463312,0.05999986999999995,0.84950934,-0.19111110999999986,0.43282630302490405
10,32.89961821772158,0.18444436999999994,0.7860089499999998,-0.13580246999999998,0.39161784004119166
11,37.1503228363581,0.28444438,0.708387709,0.009382799999999998,0.35433274633890316
12,30.632353015244007,0.14222216000000007,0.8543273100000001,-0.2602469399999998,0.3205974863526735
13,19.989948107860982,-0.06222234000000003,0.89826723,-0.4691358099999999,0.2900740880362934
14,36.85145828127861,0.21333326999999994,0.9114716489999999,-0.20024688,0.2624567569364092
15,14.176961205899715,-0.02444460000000006,0.9583128999999999,-0.78074073,0.2374688126329945
16,22.455983068794012,0.21111102999999998,0.87232551,-0.6256790200000001,0.21485991685474995
17,19.82387379836291,0.0044443399999999625,0.901337564,-0.5454320999999999,0.19440356549968224
18,27.845266666263342,0.13999997999999997,0.9083538900000001,-0.4229629899999999,0.175894819435018
19,19.057296065613627,-0.11111121000000004,0.92439537,-0.48617282999999994,0.15914825134278812
20,19.895773687050678,0.1844444,0.8485054399999999,-0.6525925799999999,0.1439960880418334
21,21.551986071979627,0.09999991000000003,0.8804663380000002,-0.5555555699999999,0.13028652967534501
22,16.67538706213236,-0.17555563999999993,0.96632909,-0.55703697,0.11788222892494947
23,16.23458305746317,-0.14000008999999994,0.97864237,-0.6237036899999999,0.10665891501555477
24,22.86345512419939,0.12666660999999996,0.9130678600000001,-0.5819753199999999,0.09650414872574241
25,21.68868298828602,0.019999929999999933,0.96110596,-0.5785185299999999,0.0873161959309452
26,30.941968590021133,0.13777770000000003,0.97910478,-0.4118518799999999,0.07900300839416118
27,18.38644760288298,-0.07333346000000004,0.9863278699999999,-0.6288889299999998,0.07148130159339547
28,21.09841188043356,0.05999995999999998,0.9630158400000001,-0.64074075,0.06467572034717095
29,19.413431029766798,0.23333331999999984,0.8825580200000003,-0.7629629600000001,0.058518083879042615
